,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Period_cited_in_text,Level_context,Materials_notes,Class,Text2
152,,10,04,,-16.5,,Doorsill,,At the same time the sill of the doorway between the court- yard and the house was raised to 16-5 ft. below datum.,Floor Features,Intermediate II,General Measure,,,At the same time the sill<br>of the doorway between the court-<br>yard and the house was raised<br>to 16-5 ft. below datum.
153,,10,04,,-12.7,,Pavement,,"The very curious mass of masonry round the well was raised, broken as well
 as whole bricks being used in its construction (Pis. XXIV, b
 to the west of it. The level to which ‘this masonry reached was 15-2 ft. below datum, and the surface of a broken pavement above it was 2 • 5 ins. higher.
 XL, a). Its dimensions were some 11 ft. by 10 ft. 3 ins. and it was bonded into the house-wall
  The purpose of this mass of masonry presents a problem ; possibly it was built with 
the intention of preventing the infiltration of sewage into the well.",Floor Features,Intermediate II,Relational Remark,broken pavement,Water Platforms,"The very curious mass of masonry<br>round the well was raised, broken<br>as well
 as whole bricks being<br>used in its construction (Pis. XXIV,<br>b
 to the west of it.<br>The level to which ‘this masonry<br>reached was 15-2 ft. below datum,<br>and the surface of a broken<br>pavement above it was 2 •<br>5 ins. higher.
 XL, a). Its<br>dimensions were some 11 ft. by<br>10 ft. 3 ins. and it<br>was bonded into the house-wall
 <br>The purpose of this mass of<br>masonry presents a problem ; possibly<br>it was built with 
the intention<br>of preventing the infiltration of sewage<br>into the well."
154,,10,03,,-12.7,,Doorsill,,"There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The  levels of the doorsills averaged -12.7 ft., the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum.",Floor Features,Intermediate I,Average,,,"There were fifteen doors in the<br>outer walls, eight of them opening<br>into the court; all but two<br>of them were blocked up when<br>the walls of the house were<br>raised in the following phase. The<br> levels of the doorsills averaged<br>-12.7 ft., the highest being at<br>— 12 -.5 ft. and the<br>lowest — 13-2 ft. below datum."
155,,10,03,,-12.5,,Doorsill,,"There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The  levels of the doorsills averaged -12.7 ft., the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum.",Floor Features,Intermediate I,Exact Measure,,,"There were fifteen doors in the<br>outer walls, eight of them opening<br>into the court; all but two<br>of them were blocked up when<br>the walls of the house were<br>raised in the following phase. The<br> levels of the doorsills averaged<br>-12.7 ft., the highest being at<br>— 12 -.5 ft. and the<br>lowest — 13-2 ft. below datum."
156,,10,03,,-13.2,,Doorsill,,"There were fifteen doors in the outer walls, eight of them opening into the court; all but two of them were blocked up when the walls of the house were raised in the following phase. The  levels of the doorsills averaged -12.7 ft., the highest being at — 12 -.5 ft. and the lowest — 13-2 ft. below datum.",Floor Features,Intermediate I,Exact Measure,,,"There were fifteen doors in the<br>outer walls, eight of them opening<br>into the court; all but two<br>of them were blocked up when<br>the walls of the house were<br>raised in the following phase. The<br> levels of the doorsills averaged<br>-12.7 ft., the highest being at<br>— 12 -.5 ft. and the<br>lowest — 13-2 ft. below datum."
157,,10,04,,-12.7,,Stair Tread,,"The little staircases in the lanes alone the southern side of this house and also
running southward from it rested on rubble. They evidently gave access to the  roof or upper storey of a house that was l)uilt right over the^former lanes, an excellent example of encroachment. The flight of steps in Fore Lane was 3 ft 8 ins. wide with treads 11 ins. broad and 8 ins. high, and it stood well away from the southern wall of the lane.‘  (* Its lowe.st step was 12-7 ft. below datum.)",Floor Features,Intermediate I,Exact Measure (Lowest),,,"The little staircases in the lanes<br>alone the southern side of this<br>house and also
running southward from it<br>rested on rubble. They evidently gave<br>access to the  roof or<br>upper storey of a house that<br>was l)uilt right over the^former lanes,<br>an excellent example of encroachment. The<br>flight of steps in Fore Lane<br>was 3 ft 8 ins. wide<br>with treads 11 ins. broad and<br>8 ins. high, and it stood<br>well away from the southern wall<br>of the lane.‘  (* Its<br>lowe.st step was 12-7 ft. below<br>datum.)"
158,,10,03,,,,Entrance,,"The house was entered as through- out the Intermediate Period at the S. W. corner.  AU the other unexplained and apparently unnecessary doorways had been wholly or partially bricked up, and in the latter case evidently served as niches or cupboards.",Floor Features,Late III,,,,"The house was entered as through-<br>out the Intermediate Period at the<br>S. W. corner.  AU the<br>other unexplained and apparently unnecessary doorways<br>had been wholly or partially bricked<br>up, and in the latter case<br>evidently served as niches or cupboards."
159,,10,04,,-9.9,,Pavement,,"Of House IV again, practically nothing was found except the well and some remains of the outer walls. A small square pavement at the level — 9-9 ft. had unaccountably escaped the general destruction, and its original edging still remained along two of its sides.",Floor Features,Late III,Exact Measure,,Water Platforms,"Of House IV again, practically nothing<br>was found except the well and<br>some remains of the outer walls.<br>A small square pavement at the<br>level — 9-9 ft. had unaccountably<br>escaped the general destruction, and its<br>original edging still remained along two<br>of its sides."
160,,10,01,,-4.8,,Doorsill,,"House I, which had grown considerably in size by encroachment on Fore Lane, was entered from the north by a doorway, 3 ft. 4 ins. wide, whose well pre- served jambs still stood 1 ft. 4 ins. above the sill.- 
( The level of this door-sill was 4-8 ft. below datum.)",Floor Features,Late  II and I (b and a),Exact Measure,,,"House I, which had grown considerably<br>in size by encroachment on Fore<br>Lane, was entered from the north<br>by a doorway, 3 ft. 4<br>ins. wide, whose well pre- served<br>jambs still stood 1 ft. 4<br>ins. above the sill.- 
( The<br>level of this door-sill was 4-8<br>ft. below datum.)"
161,,10,01,"10, 11",-6.9,,Doorsill,,"Room 11 at first communicated with room 10 by a door- way, 4 ft. 7 ins. wide, but this was bricked up in the Late Ib Period.  (The sill was 6*9 ft. below datum.)",Floor Features,Late II (?),Exact Measure,,,"Room 11 at first communicated with<br>room 10 by a door- way,<br>4 ft. 7 ins. wide, but<br>this was bricked up in the<br>Late Ib Period.  (The sill<br>was 6*9 ft. below datum.)"
162,,10,02,,-5.3,,Doorsill,,"The entrance door from the courtyard to the east was 3ft. 9ins.wide.^ 
(^Its sill was — 5-3 ft.)
A slightly narrower door gave access to the well-room from the rest of the house. ",Floor Features,Late  II and I (b and a),Exact Measure,,,"The entrance door from the courtyard<br>to the east was 3ft. 9ins.wide.^<br>
(^Its sill was — 5-3 ft.)
A<br>slightly narrower door gave access to<br>the well-room from the rest of<br>the house. "
163,,10,03,,-6.8,,Doorsill,,"
western wall of House I apparently no longer existed, and a new doorway was
made in the raised eastern wall of House III, whose sill was 6 8 ft. below datum.",Floor Features,Late  II and I (b and a),Exact Measure,,,"
western wall of House I apparently<br>no longer existed, and a new<br>doorway was
made in the raised eastern<br>wall of House III, whose sill<br>was 6 8 ft. below datum."
164,,10,03,,-4.9,,Doorsill,,"In the Late Ib Phase, another dooi*way with its sill 4-9 ft. below datum was made from House III, it was, in fact, immediately above the door of the former lock-up shop ——into room 15 of House VII, Block 9. This latter may still have been a lane, though it is more probable that it had already been built over.",Floor Features,Late Ib,Exact Measure,,,"In the Late Ib Phase, another<br>dooi*way with its sill 4-9 ft.<br>below datum was made from House<br>III, it was, in fact, immediately<br>above the door of the former<br>lock-up shop ——into room 15 of<br>House VII, Block 9. This latter<br>may still have been a lane,<br>though it is more probable that<br>it had already been built over."
165,,10,03,"55, 57, 59",-7.6,,Wall Feature (ledge),,"There is reason to think that there was a door in the northern wall of room 56 of House III, and another in the southern wall of the same chamber or in the recess 57, giving access to the court 67 through the passage 55, 59. Along all four sides of the court, a ledge at the level — -7.6 indicates the difference in thickness between the new-built walls and the thicker earlier walls that now served as foundations. ",Floor Features,Late  II and I (b and a),Relational Remark,,,"There is reason to think that<br>there was a door in the<br>northern wall of room 56 of<br>House III, and another in the<br>southern wall of the same chamber<br>or in the recess 57, giving<br>access to the court 67 through<br>the passage 55, 59. Along all<br>four sides of the court, a<br>ledge at the level — -7.6<br>indicates the difference in thickness between<br>the new-built walls and the thicker<br>earlier walls that now served as<br>foundations. "
166,,10,03,67,-8.1,,Pavement,,The fragment of a pavement along the eastern side of the court 67 lay 8*1ft. below datum. The mud-plastered walls of the small room 63 show evidence of having been burnt at some date before the room was shut off from the rest of the house.,Floor Features,Late  II and I (b and a),Exact Measure,,Water Platforms,The fragment of a pavement along<br>the eastern side of the court<br>67 lay 8*1ft. below datum. The<br>mud-plastered walls of the small room<br>63 show evidence of having been<br>burnt at some date before the<br>room was shut off from the<br>rest of the house.
167,,10,04,"81, 83, 84",-6.9,,Doorsill,,"The large new House IV was apparently entered from the south by a door- way into room 84, the apparent doorway on the northern side of the house being in reality a break in the wall. The central space (81), which measured 20 ft. 6 ins. by 15 ft. 3 ins., was probably the new courtyard in place of the one built over. The eastern jamb of the doorway leading from it into room 83 had a rebate, 7x9 ins., a very unusual feature in the doorways of Mohenjo-daro. The sills of all the doors from the courtyard were some 6-9 ft. below datum and, therefore, of Late II date.
",Floor Features,Late II,Average,"eastern jamb of the doorway leading from it into room 83 had a rebate, 7x9 ins",,"The large new House IV was<br>apparently entered from the south by<br>a door- way into room 84,<br>the apparent doorway on the northern<br>side of the house being in<br>reality a break in the wall.<br>The central space (81), which measured<br>20 ft. 6 ins. by 15<br>ft. 3 ins., was probably the<br>new courtyard in place of the<br>one built over. The eastern jamb<br>of the doorway leading from it<br>into room 83 had a rebate,<br>7x9 ins., a very unusual feature<br>in the doorways of Mohenjo-daro. The<br>sills of all the doors from<br>the courtyard were some 6-9 ft.<br>below datum and, therefore, of Late<br>II date.
"
168,,10,04,78,-5.1,,Pavement,,"In the Ib Phase, room 78 served as a bathroom. Its well-laid pavement of cut bricks, 10x5x2 ins. in size, sloped towards the south-eastern corner, where the water ran out through an aperture in the wall, 1 ft. 7 ins. wide.^  (^The highest part of the pavement was 5*1 ft. below datum.)",Floor Features,Late Ib,Exact Measure (Highest),cut bricks; sloped,Water Platforms,"In the Ib Phase, room 78<br>served as a bathroom. Its well-laid<br>pavement of cut bricks, 10x5x2 ins.<br>in size, sloped towards the south-eastern<br>corner, where the water ran out<br>through an aperture in the wall,<br>1 ft. 7 ins. wide.^ <br>(^The highest part of the pavement<br>was 5*1 ft. below datum.)"
169,,10,04,"74, 87, 88",-8.6,,Pavement,,"The very long chamber 74, 87, 88 was 45 ft. 3 ins. in length by 7 ft. 9 ins. wide. In it the well now reached to the level 8*4 ft. below datum with a coping built of wedge-shaped bricks.- Round it there was a neatly laid pavement whose level,- 8 6ft., dates it to the LateII",Floor Features,Late II,Exact Measure,neatly laid,Water Platforms,"The very long chamber 74, 87,<br>88 was 45 ft. 3 ins.<br>in length by 7 ft. 9<br>ins. wide. In it the well<br>now reached to the level 8*4<br>ft. below datum with a coping<br>built of wedge-shaped bricks.- Round it<br>there was a neatly laid pavement<br>whose level,- 8 6ft., dates it<br>to the LateII"
170,,10,04,72,-7.0,,Stair Tread,,"In the passage 72, two treads remained of a stairway, 2 ft. 10 ins. wide, each
7 ins. broad and 10 ins. high. The level of the lowest step was — 7 ft which dates this staircase to the Late II Phase.",Floor Features,Late II,Exact Measure (Lowest),,,"In the passage 72, two treads<br>remained of a stairway, 2 ft.<br>10 ins. wide, each
7 ins. broad<br>and 10 ins. high. The level<br>of the lowest step was —<br>7 ft which dates this staircase<br>to the Late II Phase."
0,"PI. XXXVII, b",7,04,50,-20.4,Intermediate III,Pottery - Jar,,"Inside the western doorway of room 50 of House IV was a large pottery jar fed by a little runnel (PI. XXXVII, b) made of a partially scooped-out brick, that seems never to have been covered in. As this vessel was inside the room and the liquid arrived from outside—a most unusual arrangement we must suppose that here we have the remains of some apparatus for brewing or perhaps, the preparation of oil. The jar was not holed as a drainage jar would have been, and it was well made and coated on the outside with a thick red slip which would prevent percolation.",Water Features,,,,Drainage,"Inside the western doorway of room<br>50 of House IV was a<br>large pottery jar fed by a<br>little runnel (PI. XXXVII, b) made<br>of a partially scooped-out brick, that<br>seems never to have been covered<br>in. As this vessel was inside<br>the room and the liquid arrived<br>from outside—a most unusual arrangement we<br>must suppose that here we have<br>the remains of some apparatus for<br>brewing or perhaps, the preparation of<br>oil. The jar was not holed<br>as a drainage jar would have<br>been, and it was well made<br>and coated on the outside with<br>a thick red slip which would<br>prevent percolation."
1,,7,04,79,-18.0,Intermediate III,Pavement,,"The little patch of paving (79) at the level — 18 ft. is all that remains of either a bathing-place or a privy which, as so often at the present day, was built at a slightly higher level than the rest of the house to allow of proper drainage. Of the small house (III) to the west of it practically nothing remained.",Water Features,,,,Water Platforms,"The little patch of paving (79)<br>at the level — 18 ft.<br>is all that remains of either<br>a bathing-place or a privy which,<br>as so often at the present<br>day, was built at a slightly<br>higher level than the rest of<br>the house to allow of proper<br>drainage. Of the small house (III)<br>to the west of it practically<br>nothing remained."
2,,7,05,"77, 81",-19.5,Intermediate III,Well,,"The well-room (77, 81), 16 ft. long by 8 ft. wide, was entered from the north and south by two wide doorways whose sills average 19 5 ft. below datum. To the east of the well was a carefully laid pavement at the same level as the door-sills, but it had sunk badly in the centre. Shallow cavities in this pavement worn by the dumping of numberless water-jars show that this well-room was in frequent use throughout a lengthy period, and its separate entrance from the lane to the south suggests that the owner of the house freely allowed his neighbours access to his well. The spilt water drained away into Low Lane through a rectangular aperture in the eastern wall.",Water Features,,,,Well,"The well-room (77, 81), 16 ft.<br>long by 8 ft. wide, was<br>entered from the north and south<br>by two wide doorways whose sills<br>average 19 5 ft. below datum.<br>To the east of the well<br>was a carefully laid pavement at<br>the same level as the door-sills,<br>but it had sunk badly in<br>the centre. Shallow cavities in this<br>pavement worn by the dumping of<br>numberless water-jars show that this well-room<br>was in frequent use throughout a<br>lengthy period, and its separate entrance<br>from the lane to the south<br>suggests that the owner of the<br>house freely allowed his neighbours access<br>to his well. The spilt water<br>drained away into Low Lane through<br>a rectangular aperture in the eastern<br>wall."
3,PI. XXXVIII,7,06,,-20.4,Intermediate III,Pottery - Jar,,"The large jar seen in PI. XXXVIII, a, may have been used for drainage or, possibly, it was left behind by the mason who used it in his work. ",Water Features,,,,Drainage,"The large jar seen in PI.<br>XXXVIII, a, may have been used<br>for drainage or, possibly, it was<br>left behind by the mason who<br>used it in his work. "
4,,7,06,75,-20.4,Intermediate III,Well,,"The well (75) must have been in use at this period, though we have not cleared inside the house as far down as the Intermediate III level.",Water Features,,,,Well,"The well (75) must have been<br>in use at this period, though<br>we have not cleared inside the<br>house as far down as the<br>Intermediate III level."
5,,7,08,19,-4.8,Intermediate III,Well Steening,,"The top of its often raised steening (PI. XXXVII, g) is at the level — 4.8 ft., and it has been cleared to a depth of 19 ft. 4 ins. below that level. The entrance to the well-room in the Intermediate III Phase could not be located, though one must obviously have existed. A possible doorway has been indicated in the plan, but its position was only conjectiirally estimated from a somewhat problematical jamb in the much damaged wall. Its sill would probably have been 20.5 ft. below datum.",Water Features,,,,Well,"The top of its often raised<br>steening (PI. XXXVII, g) is at<br>the level — 4.8 ft., and<br>it has been cleared to a<br>depth of 19 ft. 4 ins.<br>below that level. The entrance to<br>the well-room in the Intermediate III<br>Phase could not be located, though<br>one must obviously have existed. A<br>possible doorway has been indicated in<br>the plan, but its position was<br>only conjectiirally estimated from a somewhat<br>problematical jamb in the much damaged<br>wall. Its sill would probably have<br>been 20.5 ft. below datum."
6,,10,02,25,-20.4,Intermediate III,Pavement,,"Only the northern half of the room was paved at this period. It is difficult to estimate how high the coping stood above the pavement, but it would evidently have been difficidt to pass from one end of the room to the other, and each end therefore had its own door, 2 ft. wide, in the eastern wall. The paved floor was about 3 ins. above the level of the door-sills. ",Water Features,,,,Water Platforms,"Only the northern half of the<br>room was paved at this period.<br>It is difficult to estimate how<br>high the coping stood above the<br>pavement, but it would evidently have<br>been difficidt to pass from one<br>end of the room to the<br>other, and each end therefore had<br>its own door, 2 ft. wide,<br>in the eastern wall. The paved<br>floor was about 3 ins. above<br>the level of the door-sills. "
7,,10,04,,-20.4,Intermediate III,Well,,"There seems no doubt that it was once a courtyard with a well in its north-western corner (PI. XL, a). Its eastern wall had been entirely removed to the level of the pavement, though, doubtless, deeper excavation will reveal its foundations. ",Water Features,,,,Well,"There seems no doubt that it<br>was once a courtyard with a<br>well in its north-western corner (PI.<br>XL, a). Its eastern wall had<br>been entirely removed to the level<br>of the pavement, though, doubtless, deeper<br>excavation will reveal its foundations. "
8,,10,04,,-20.4,Intermediate III,Well Feature Detail,,"A bricked-up chute, 1 ft. 10 -.5 ins. wide, is seen on the outside of the northern wall of the well-chamber ; and judging from the height which the wall now stands this chute was probably used and re-used for a considerable period of time.",Water Features,,,,Well,"A bricked-up chute, 1 ft. 10<br>-.5 ins. wide, is seen on<br>the outside of the northern wall<br>of the well-chamber ; and judging<br>from the height which the wall<br>now stands this chute was probably<br>used and re-used for a considerable<br>period of time."
9,,4,01,79,-9.0,Late III,Well - Pit,,"Late III Phase (PL XIX). Average level:— 9-9 ft. ..... []... The pavement in room 79 was laid in several courses, in all 1 ft. thick, with its surface 9 ft. below datum. In the X. E. corner of this floor was a round pit, 2 ft. 3 ins. in diameter, made like a well of wedge-shaped bricks and with its top level with the pavement. As the floor of this pit was not paved, it may have been a soak-pit, or possibly it .served as a stand for a very large water-bowl or pan.  ",Water Features,,,,Well,"Late III Phase (PL XIX). Average<br>level:— 9-9 ft. ..... []... The<br>pavement in room 79 was laid<br>in several courses, in all 1<br>ft. thick, with its surface 9<br>ft. below datum. In the X.<br>E. corner of this floor was<br>a round pit, 2 ft. 3<br>ins. in diameter, made like a<br>well of wedge-shaped bricks and with<br>its top level with the pavement.<br>As the floor of this pit<br>was not paved, it may have<br>been a soak-pit, or possibly it<br>.served as a stand for a<br>very large water-bowl or pan. <br>"
10,,4,01,,-20.5,Intermediate III,Pottery - Jar,,"A large storage jar in the north-western corner ol room 16 unfortunately fell to pieces on removal. Immediately below it was another, with its rim just below the pavement which was of two courses of burnt brick.^ Both jars were empty, and it is possible that the lower one was intended to hold valuables and that the upper one served as a blind.  [^This pavement was 20.5 ft. below datum.]",Water Features,,,,Drainage,"A large storage jar in the<br>north-western corner ol room 16 unfortunately<br>fell to pieces on removal. Immediately<br>below it was another, with its<br>rim just below the pavement which<br>was of two courses of burnt<br>brick.^ Both jars were empty, and<br>it is possible that the lower<br>one was intended to hold valuables<br>and that the upper one served<br>as a blind.  [^This pavement<br>was 20.5 ft. below datum.]"
11,,9,05,,-14.0,Intermediate II,Aperture,,"Both were 14 ft. below datum, and they were drained through rectangular apertures in their eastern walls into little small drain in the alley outside.",Water Features,,,,Drainage,"Both were 14 ft. below datum,<br>and they were drained through rectangular<br>apertures in their eastern walls into<br>little small drain in the alley<br>outside."
12,,9,06,,-15.7,Intermediate II,Pipe,,"A vertical pottery drain was unearthed, neatly enclosed in masonry (PL XXXIX, d). The top of the pipe, which is also illustrated in Pis. CVIII, 30 ; CX, 35, was 15 -7 ft. below datum.",Water Features,,,,Drainage,"A vertical pottery drain was unearthed,<br>neatly enclosed in masonry (PL XXXIX,<br>d). The top of the pipe,<br>which is also illustrated in Pis.<br>CVIII, 30 ; CX, 35, was<br>15 -7 ft. below datum."
13,"PI. XXXIX, a",9,07,,-15.9,Intermediate II,Pavement,,"no longer in use. Again, an ablution pavement, some 5 ft. 2 ins. by 4 ft. 6 ins. in size, made of carefully cut bricks, occupied the southern end of passage 49.’ This pavement (PI. XXXIX, a) sloped appreciably towards its S.-E. corner, and the wall to the south of it still stood some 3 ft. high, whereas the other walls around had been partially demolished.",Water Features,,,,Water Platforms,"no longer in use. Again, an<br>ablution pavement, some 5 ft. 2<br>ins. by 4 ft. 6 ins.<br>in size, made of carefully cut<br>bricks, occupied the southern end of<br>passage 49.’ This pavement (PI. XXXIX,<br>a) sloped appreciably towards its S.-E.<br>corner, and the wall to the<br>south of it still stood some<br>3 ft. high, whereas the other<br>walls around had been partially demolished."
14,,9,07,21,-15.9,Intermediate II,Pavement,,The ment little ablution pavement or privy against the western side of room 21 was edged all round with brick in the usual way and drained into the street through an aperture in the western wall of the house. ,Water Features,,,,Water Platforms,The ment little ablution pavement or<br>privy against the western side of<br>room 21 was edged all round<br>with brick in the usual way<br>and drained into the street through<br>an aperture in the western wall<br>of the house. 
15,,9,07,21,-15.9,Intermediate II,Aperture,,The ment little ablution pavement or privy against the western side of room 21 was edged all round with brick in the usual way and drained into the street through an aperture in the western wall of the house. ,Water Features,,,,Drainage,The ment little ablution pavement or<br>privy against the western side of<br>room 21 was edged all round<br>with brick in the usual way<br>and drained into the street through<br>an aperture in the western wall<br>of the house. 
16,"PI. XLI, f",10,02,26,-15.9,Intermediate II,Well,,"The well-room (26) in this house was about the same size as in the previous period, but was now* entered from the west (PI. XLI, f). The pavement seen in both plan and photograph was 16 ft. below datum and was drained through a small hole in the western wall of the room.",Water Features,,,,Well,"The well-room (26) in this house<br>was about the same size as<br>in the previous period, but was<br>now* entered from the west (PI.<br>XLI, f). The pavement seen in<br>both plan and photograph was 16<br>ft. below datum and was drained<br>through a small hole in the<br>western wall of the room."
17,"PI. XLI, f",10,02,26,-16.0,Intermediate II,Pavement,,"The well-room (26) in this house was about the same size as in the previous period, but was now* entered from the west (PI. XLI, f). The pavement seen in both plan and photograph was 16 ft. below datum and was drained through a small hole in the western wall of the room.",Water Features,,,,Water Platforms,"The well-room (26) in this house<br>was about the same size as<br>in the previous period, but was<br>now* entered from the west (PI.<br>XLI, f). The pavement seen in<br>both plan and photograph was 16<br>ft. below datum and was drained<br>through a small hole in the<br>western wall of the room."
18,"PI. XLI, f",10,02,26,-15.9,Intermediate II,Aperture,,"The well-room (26) in this house was about the same size as in the previous period, but was now* entered from the west (PI. XLI, f). The pavement seen in both plan and photograph was 16 ft. below datum and was drained through a small hole in the western wall of the room.",Water Features,,,,Drainage,"The well-room (26) in this house<br>was about the same size as<br>in the previous period, but was<br>now* entered from the west (PI.<br>XLI, f). The pavement seen in<br>both plan and photograph was 16<br>ft. below datum and was drained<br>through a small hole in the<br>western wall of the room."
19,,10,02,,-19.1,Intermediate II,Drain,,"The channel of the drain beneath this staircase was 8 ins. wide by 13 ins. deep, its bed at this point being 19.1 ft. below datum.",Water Features,,,,Drainage,"The channel of the drain beneath<br>this staircase was 8 ins. wide<br>by 13 ins. deep, its bed<br>at this point being 19.1 ft.<br>below datum."
20,"PI. XLI, c",10,01,,-15.9,Intermediate II,Aperture,,"The water escaped through an aperture, 3.75 ins. wide, in the southern wall which was originally larger, but was partially blocked up with very rough masonry (PI. XLI, c). The water-chute, 1 ft. 11.5 ins. wide, beneath this aperture was of unusual workmanship and sloped at about the angle 45° . This chute seems originally to have drained an upper storey or the roof of the building from the foot of a vertical channel in the thickness of the wall, an arrangement that was quite usual at Mohenjo-daro.
A portion of this pavement is seen just beyond the upper pavement in PI. XLI, c, and it was drained by the horizontal outfall still to be seen on the right of the chute in the photograph.",Water Features,,,,Drainage,"The water escaped through an aperture,<br>3.75 ins. wide, in the southern<br>wall which was originally larger, but<br>was partially blocked up with very<br>rough masonry (PI. XLI, c). The<br>water-chute, 1 ft. 11.5 ins. wide,<br>beneath this aperture was of unusual<br>workmanship and sloped at about the<br>angle 45° . This chute seems<br>originally to have drained an upper<br>storey or the roof of the<br>building from the foot of a<br>vertical channel in the thickness of<br>the wall, an arrangement that was<br>quite usual at Mohenjo-daro.
A portion of<br>this pavement is seen just beyond<br>the upper pavement in PI. XLI,<br>c, and it was drained by<br>the horizontal outfall still to be<br>seen on the right of the<br>chute in the photograph."
21,"PI. XLI, c",10,01,,-15.9,Intermediate II,Chute,,"The water escaped through an aperture, 3.75 ins. wide, in the southern wall which was originally larger, but was partially blocked up with very rough masonry (PI. XLI, c). The water-chute, 1 ft. 11.5 ins. wide, beneath this aperture was of unusual workmanship and sloped at about the angle 45° . This chute seems originally to have drained an upper storey or the roof of the building from the foot of a vertical channel in the thickness of the wall, an arrangement that was quite usual at Mohenjo-daro.
A portion of this pavement is seen just beyond the upper pavement in PI. XLI, c, and it was drained by the horizontal outfall still to be seen on the right of the chute in the photograph.",Water Features,,,,Drainage,"The water escaped through an aperture,<br>3.75 ins. wide, in the southern<br>wall which was originally larger, but<br>was partially blocked up with very<br>rough masonry (PI. XLI, c). The<br>water-chute, 1 ft. 11.5 ins. wide,<br>beneath this aperture was of unusual<br>workmanship and sloped at about the<br>angle 45° . This chute seems<br>originally to have drained an upper<br>storey or the roof of the<br>building from the foot of a<br>vertical channel in the thickness of<br>the wall, an arrangement that was<br>quite usual at Mohenjo-daro.
A portion of<br>this pavement is seen just beyond<br>the upper pavement in PI. XLI,<br>c, and it was drained by<br>the horizontal outfall still to be<br>seen on the right of the<br>chute in the photograph."
22,"PI. XLI, c",10,01,,-15.9,Intermediate II,Pavement,,"The water escaped through an aperture, 3.75 ins. wide, in the southern wall which was originally larger, but was partially blocked up with very rough masonry (PI. XLI, c). The water-chute, 1 ft. 11.5 ins. wide, beneath this aperture was of unusual workmanship and sloped at about the angle 45° . This chute seems originally to have drained an upper storey or the roof of the building from the foot of a vertical channel in the thickness of the wall, an arrangement that was quite usual at Mohenjo-daro.
A portion of this pavement is seen just beyond the upper pavement in PI. XLI, c, and it was drained by the horizontal outfall still to be seen on the right of the chute in the photograph.",Water Features,,,,Water Platforms,"The water escaped through an aperture,<br>3.75 ins. wide, in the southern<br>wall which was originally larger, but<br>was partially blocked up with very<br>rough masonry (PI. XLI, c). The<br>water-chute, 1 ft. 11.5 ins. wide,<br>beneath this aperture was of unusual<br>workmanship and sloped at about the<br>angle 45° . This chute seems<br>originally to have drained an upper<br>storey or the roof of the<br>building from the foot of a<br>vertical channel in the thickness of<br>the wall, an arrangement that was<br>quite usual at Mohenjo-daro.
A portion of<br>this pavement is seen just beyond<br>the upper pavement in PI. XLI,<br>c, and it was drained by<br>the horizontal outfall still to be<br>seen on the right of the<br>chute in the photograph."
23,"PI. XLI, c",10,01,,-15.9,Intermediate II,Outfall,,"The water escaped through an aperture, 3.75 ins. wide, in the southern wall which was originally larger, but was partially blocked up with very rough masonry (PI. XLI, c). The water-chute, 1 ft. 11.5 ins. wide, beneath this aperture was of unusual workmanship and sloped at about the angle 45° . This chute seems originally to have drained an upper storey or the roof of the building from the foot of a vertical channel in the thickness of the wall, an arrangement that was quite usual at Mohenjo-daro.
A portion of this pavement is seen just beyond the upper pavement in PI. XLI, c, and it was drained by the horizontal outfall still to be seen on the right of the chute in the photograph.",Water Features,,,,Drainage,"The water escaped through an aperture,<br>3.75 ins. wide, in the southern<br>wall which was originally larger, but<br>was partially blocked up with very<br>rough masonry (PI. XLI, c). The<br>water-chute, 1 ft. 11.5 ins. wide,<br>beneath this aperture was of unusual<br>workmanship and sloped at about the<br>angle 45° . This chute seems<br>originally to have drained an upper<br>storey or the roof of the<br>building from the foot of a<br>vertical channel in the thickness of<br>the wall, an arrangement that was<br>quite usual at Mohenjo-daro.
A portion of<br>this pavement is seen just beyond<br>the upper pavement in PI. XLI,<br>c, and it was drained by<br>the horizontal outfall still to be<br>seen on the right of the<br>chute in the photograph."
24,"PI. XXXIX, c",9,03,35,-15.9,Intermediate II,Pavement,,"A curiously concave pavement in room 35, which was so laid that the water collected in its centre and ran down a little open channel chiselled in the floor (PI. XXXIX, c) and out through a hole in the south-eastern corner of the room to the street outside. In the foreground of the photograph another paved floor (38) is seen which drained into a jar close to its south-eastern corner.",Water Features,,,,Water Platforms,"A curiously concave pavement in room<br>35, which was so laid that<br>the water collected in its centre<br>and ran down a little open<br>channel chiselled in the floor (PI.<br>XXXIX, c) and out through a<br>hole in the south-eastern corner of<br>the room to the street outside.<br>In the foreground of the photograph<br>another paved floor (38) is seen<br>which drained into a jar close<br>to its south-eastern corner."
